Ref Des,Mfr,Mfr Part,Desc,Supplier,Supplier Part,Qty
"C1,2,3,4,5,6,7,8,9",Murata,GRM1555C1H560JA01D,CAP CER 56PF 50V 5% C0G 0402,Digi-Key,490-1288-1-ND,9
"C10,11,12,13,14,15,16,17,18,23,24,25,41",Murata,GRM188R71C104KA01D,CAP CER .1UF 16V 10% X7R 0603,Digi-Key,490-1532-1-ND,13
"C19,20,21,22",Panasonic ECG,ECJ-1VB0J106M,CAP CERAMIC 10UF 6.3V X5R 0603,Digi-Key,PCC2395CT-ND,6
"C35,36,42",Taiyo Yuden,LMK212BJ106KG-T,CAP CER 10UF 10V X5R 0805,Digi-Key,587-1300-1-ND,3
"C26,27",Murata,GRM155R71E103KA01D,CAP CER 10000PF 25V 10% X7R 0402,Digi-Key,490-1312-1-ND,2
C28,Murata,GRM155R61A104KA01D,CAP CER .1UF 10V 10% X5R 0402,Digi-Key,490-1318-1-ND,1
"C29,30",,,CAP CER C0G 0402,,,2
C31,Murata,GRM1885C1H122JA01D,CAP CER 1200PF 50V 5% C0G 0603,Digi-Key,490-1453-1-ND,1
C32,Murata,GRM1885C1H391JA01D,CAP CER 390PF 50V 5% C0G 0603,Digi-Key,490-1441-1-ND,1
C33,Murata,GRM188R71H333KA61D,CAP CER 33000PF 50V X7R 0603,Digi-Key,490-3286-1-ND,1
C34,Murata,GRM1885C1H182JA01D,CAP CER 1800PF 50V 5% C0G 0603,Digi-Key,490-1457-1-ND,1
"C37,38,39",Murata,GRM1885C1H102JA01D,CAP CER 1000PF 50V 5% C0G 0603,Digi-Key,490-1451-1-ND,3
C40,Murata,GRM1555C1H100JZ01D,CAP CER 10PF 50V 5% C0G 0402,Digi-Key,490-1278-1-ND,1
"C43,44,45,46",,,CAP CER 0603,,,
"J1,2,3,4,8",Emerson,142-0701-801,Connector; SMA Jack; Solder Pin; Straight; Brass; 0.440 in.; Brass per QQ-B-626,Allied Electronics,528-0238,5
"J6,7",Emerson,142-0701-801,Connector; SMA Jack; Solder Pin; Straight; Brass; 0.440 in.; Brass per QQ-B-626,Allied Electronics,528-0238,2
J5,TE Connectivity,9-146277-0,CONN HDR BRKWAY .100 40POS VERT,Digi-Key,A34257-40-ND,1
J9,CUI,PJ-102A,CONN JACK POWER 2.1MM PCB,Digi-Key,CP-102A-ND,1
"L1,2",,,IND 0806,,,
"L3,4",,,IND 0402,,,
"L5,6,7,8,9,10,11,12",,,IND 0603,,,
R1,Panasonic ECG,ERJ-2GE0R00X,RES 0.0 OHM 1/10W 0402 SMD,Digi-Key,P0.0JCT-ND,1
"R2,5,6",Panasonic ECG,ERJ-2RKF4701X,RES 4.70K OHM 1/10W 1% 0402 SMD,Digi-Key,P4.70KLCT-ND,3
"R3,4",Panasonic ECG,ERJ-3GEY0R00V,RES 0.0 OHM 1/10W 0603 SMD,Digi-Key,P0.0GCT-ND,2
R7,,,RES 0402 SMD,,,1
"R8,17",Yageo,RC0603JR-071KL,RES 1.0K OHM 1/10W 5% 0603 SMD,Digi-Key,311-1.0KGRCT-ND,2
"R9,10",Panasonic ECG,ERJ-2RKF1002X,RES 10.0K OHM 1/10W 1% 0402 SMD,Digi-Key,P10.0KLCT-ND,2
"R11,12",Panasonic ECG,ERJ-2RKF49R9X,RES 49.9 OHM 1/10W 1% 0402 SMD,Digi-Key,P49.9LCT-ND,2
"R13,14",,,RES 0805 SMD,,,2
R15,Yageo,RC0603FR-07294RL,RES 294 OHM 1/10W 1% 0603 SMD,Digi-Key,311-294HRCT-ND,1
R16,Yageo,RC0603FR-07182RL,RES 182 OHM 1/10W 1% 0603 SMD,Digi-Key,311-182HRCT-ND,1
R18,Yageo,RC0603FR-07140KL,RES 140K OHM 1/10W 1% 0603 SMD,Digi-Key,311-140KHRCT-ND,1
R19,Yageo,RC0603FR-0778K7L,RES 78.7K OHM 1/10W 1% 0603 SMD,Digi-Key,311-78.7KHRCT-ND,1
U1,Analog Devices,ADRF6850BCPZ,IC QUAD DEMODULATOR 56LFCSP,Digi-Key,ADRF6850BCPZ-ND,1
U2,Analog Devices,ADP3336ARMZ,IC REG LDO ADJ 500MA 8-MSOP,Digi-Key,ADP3336ARMZ-REEL7CT-ND,1
X1,Fox,FXO-HC736R-25,OSC 25.000 MHZ 3.3V SMD,Digi-Key,631-1187-1-ND,1
