Ref Des,Mfr,Mfr Part,Description,,,Qty,,
R1,Panasonic,ERJ-3EKF3160V,RES 316 OHM 1/10W 1% 0603 SMD,Digi-Key,P316HCT-ND,1,$0.04,$0.04
R2,Panasonic,ERJ-3EKF6810V,RES 681 OHM 1/10W 1% 0603 SMD,Digi-Key,P681HCT-ND,1,$0.04,$0.04
"R4,59",Panasonic,ERJ-3GEY0R00V,RES 0.0 OHM 1/10W 0603 SMD,Digi-Key,P0.0GCT-ND,2,$0.03,$0.06
R12,Panasonic,ERJ-3EKF5111V,RES 5.11K OHM 1/10W 1% 0603 SMD,Digi-Key,P5.11KHCT-ND,1,$0.04,$0.04
"R15,16,17,19",Panasonic,ERJ-3EKF1002V,RES 10.0K OHM 1/10W 1% 0603 SMD,Digi-Key,P10.0KHCT-ND,4,$0.04,$0.16
"R20,21",Panasonic,ERJ-2RKF49R9X,RES 49.9 OHM 1/10W 1% 0402 SMD,Digi-Key,P49.9LCT-ND,2,$0.06,$0.12
C1,Murata,GRM188R71H332KA01D,CAP CER 3300PF 50V 10% X7R 0603,Digi-Key,490-1503-1-ND,1,$0.03,$0.03
C2,TDK,C1608X7R1H473K,CAP CER 47000PF 50V X7R 10% 0603,Digi-Key,445-1313-1-ND,1,$0.03,$0.03
C3,Murata,GRM188R71H152KA01D,CAP CER 1500PF 50V 10% X7R 0603,Digi-Key,490-1498-1-ND,1,$0.03,$0.03
"C4,9,27,32,34",Murata,GRM188R61A105KA61D,CAP CER 1.0UF 10V 10% X5R 0603,Digi-Key,490-1543-1-ND,5,$0.04,$0.19
"C5,8,13,17,18,21,22,25,69",Murata,GRM155R61A104KA01D,CAP CER .1UF 10V 10% X5R 0402,Digi-Key,490-1318-1-ND,9,$0.01,$0.12
"C6,7,14,15,16,19,20,23",Murata,GRM1555C1H100JZ01D,CAP CER 10PF 50V 5% C0G 0402,Digi-Key,490-1278-1-ND,8,$0.02,$0.15
C10,Murata,GRM155R71E103KA01D,CAP CER 10000PF 25V 10% X7R 0402,Digi-Key,490-1312-1-ND,1,$0.01,$0.01
"C24,36",Murata,GRM1555C1H121JA01D,CAP CER 120PF 50V 5% C0G 0402,Digi-Key,490-1292-1-ND,2,$0.03,$0.06
"C26,35",Murata,GRM1555C1H101JZ01D,CAP CER 100PF 50V 5% C0G 0402,Digi-Key,490-3458-1-ND,2,$0.02,$0.03
C33,Kemet,B45197A6226K409,CAP TANT 22UF 35V 10% LOESR SMD,Digi-Key,495-1582-1-ND,1,$1.32,$1.32
FB1,TDK,MPZ1608S601A,FERRITE CHIP BEAD 600 OHM SMD,Digi-Key,445-2205-1-ND,1,$0.05,$0.05
J1,On Shore,ED100/2DS,TERMINAL BLOCK 5MM VERT 2POS,Digi-Key,ED1601-ND,1,$0.46,$0.46
"RFOUTA+,-",Emerson,142-0701-801,"CONN JACK END LAUNCH PCB .187"" G",Allied Electronics,528-0238,2,$3.31,$6.62
U1,Analog Devices,ADF4350BCPZ-RL7,IC SYNTH PLL VCO FN/IN 32LFCSP,Digi-Key,ADF4350BCPZ-RL7CT-ND,1,$16.98,$16.98
"U2,3",Analog Devices,ADP150AUJZ-3.3-R7,IC REG LDO 3.3V .15A TSOT-5,Digi-Key,ADP150AUJZ-3.3-R7CT-ND,2,$0.93,$1.86
Y1,Fox Electronics,FXO-HC536R-25,OSC 25.000 MHZ 3.3V SMD,Digi-Key,631-1156-1-ND,1,$2.40,$2.40
